replica,network,population,sigma,true_model,modelcompare,base_SS,RR
4,None,All,0.2,13,BIC,20,0.9426751592356688
5,None,All,0.2,13,BIC,20,0.9196531791907514
6,None,All,0.2,13,BIC,20,0.9683982683982684
7,None,All,0.2,13,BIC,20,0.9539918809201624
8,None,All,0.2,13,BIC,20,0.9028536733454766
9,None,All,0.2,13,BIC,20,0.9778056951423786
10,None,All,0.2,13,BIC,20,0.8352272727272727
11,None,All,0.2,13,BIC,20,0.8088597210828548
12,None,All,0.2,13,BIC,20,0.7084398976982097
13,None,All,0.2,13,BIC,20,0.928030303030303
14,None,All,0.2,13,BIC,20,0.9686440677966102
15,None,All,0.2,13,BIC,20,0.9797382861967074
16,None,All,0.2,13,BIC,20,0.9541241890639481
17,None,All,0.2,13,BIC,20,0.859375
18,None,All,0.2,13,BIC,20,0.8601626016260162
19,None,All,0.2,13,BIC,20,0.9744588744588745
20,None,All,0.2,13,BIC,20,0.9736614853195165
21,None,All,0.2,13,BIC,20,0.9370199692780338
22,None,All,0.2,13,BIC,20,0.9070769230769231
23,None,All,0.2,13,BIC,20,0.9797125950972105
24,None,All,0.2,13,BIC,20,0.9741019214703425
25,None,All,0.2,13,BIC,20,0.8876404494382022
26,None,All,0.2,13,BIC,20,0.9764554794520548
27,None,All,0.2,13,BIC,20,0.9670424978317432
28,None,All,0.2,13,BIC,20,0.9679098005203816
29,None,All,0.2,13,BIC,20,0.9714169048591261
30,None,All,0.2,13,BIC,20,0.9739010989010989
31,None,All,0.2,13,BIC,20,0.9597902097902098
32,None,All,0.2,13,BIC,20,0.96045197740113
33,None,All,0.2,13,BIC,20,0.9684542586750788
34,None,All,0.2,13,BIC,20,0.9028536733454766
35,None,All,0.2,13,BIC,20,0.8901389808074123
36,None,All,0.2,13,BIC,20,0.9716129032258064
37,None,All,0.2,13,BIC,20,0.8197573656845754
38,None,All,0.2,13,BIC,20,0.9748005039899202
39,None,All,0.2,13,BIC,20,0.7331995987963892
40,None,All,0.2,13,BIC,20,0.9566872917658258
41,None,All,0.2,13,BIC,20,0.9762993762993764
42,None,All,0.2,13,BIC,20,0.903267136450993
43,None,All,0.2,13,BIC,20,0.9732028923862186
44,None,All,0.2,13,BIC,20,0.9749478079331941
45,None,All,0.2,13,BIC,20,0.9580135440180587
46,None,All,0.2,13,BIC,20,0.9687216681776972
47,None,All,0.2,13,BIC,20,0.9450436569080637
48,None,All,0.2,13,BIC,20,0.9651982378854626
49,None,All,0.2,13,BIC,20,0.9576502732240437
50,None,All,0.2,13,BIC,20,0.9739316239316239
1,None,All,0.2,2,BIC,20,0.9117959617428267
2,None,All,0.2,2,BIC,20,0.9014618299945858
3,None,All,0.2,2,BIC,20,0.9088541666666666
4,None,All,0.2,2,BIC,20,0.8948758584257792
5,None,All,0.2,2,BIC,20,0.9129973474801061
6,None,All,0.2,2,BIC,20,0.925686591276252
7,None,All,0.2,2,BIC,20,0.9107981220657277
8,None,All,0.2,2,BIC,20,0.9149840595111584
9,None,All,0.2,2,BIC,20,0.9033541785105174
10,None,All,0.2,2,BIC,20,0.8977754237288136
11,None,All,0.2,2,BIC,20,0.9028296849973305
12,None,All,0.2,2,BIC,20,0.8938923395445134
13,None,All,0.2,2,BIC,20,0.9019504480759093
14,None,All,0.2,2,BIC,20,0.8992999461497039
