replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,278,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,279,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,280,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,281,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,282,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,283,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,284,All,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,285,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,286,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,287,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,288,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,289,All,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,290,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,291,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,292,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,293,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,294,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,295,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,296,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,297,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,298,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,299,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,300,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,301,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,302,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,303,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,304,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,305,All,0.2,None,100,2,5,1,12,0,2,1,2,1,1
1,306,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
