replica,network,population,true_model,sigma,net_size,colab_cond,TAT
18,Lattice,All,13,0.2,484,COLAB,0.8314662067126927
19,Lattice,All,13,0.2,484,COLAB,0.8200295319798778
20,Lattice,All,13,0.2,484,COLAB,0.8269129880836393
21,Lattice,All,13,0.2,484,COLAB,0.8413524963506853
22,Lattice,All,13,0.2,484,COLAB,0.8533225126211664
23,Lattice,All,13,0.2,484,COLAB,0.8177266988062443
24,Lattice,All,13,0.2,484,COLAB,0.8065898589235903
25,Lattice,All,13,0.2,484,COLAB,0.81621980679186
26,Lattice,All,13,0.2,484,COLAB,0.8219542972363584
27,Lattice,All,13,0.2,484,COLAB,0.8331185738050153
28,Lattice,All,13,0.2,484,COLAB,0.8302076853083842
29,Lattice,All,13,0.2,484,COLAB,0.8434930827696513
30,Lattice,All,13,0.2,484,COLAB,0.8281305912924938
31,Lattice,All,13,0.2,484,COLAB,0.8191077123555434
32,Lattice,All,13,0.2,484,COLAB,0.8189004189808048
33,Lattice,All,13,0.2,484,COLAB,0.8219628619023744
34,Lattice,All,13,0.2,484,COLAB,0.8408207815592846
35,Lattice,All,13,0.2,484,COLAB,0.8187008585933
36,Lattice,All,13,0.2,484,COLAB,0.8323790719534931
37,Lattice,All,13,0.2,484,COLAB,0.8177622514595803
38,Lattice,All,13,0.2,484,COLAB,0.8383503194666296
39,Lattice,All,13,0.2,484,COLAB,0.8418920644425559
40,Lattice,All,13,0.2,484,COLAB,0.8400639894632032
41,Lattice,All,13,0.2,484,COLAB,0.7974715860842945
42,Lattice,All,13,0.2,484,COLAB,0.8401562686547365
43,Lattice,All,13,0.2,484,COLAB,0.8216387002081404
44,Lattice,All,13,0.2,484,COLAB,0.8227716944946101
45,Lattice,All,13,0.2,484,COLAB,0.8431941684949444
46,Lattice,All,13,0.2,484,COLAB,0.8133782292815954
47,Lattice,All,13,0.2,484,COLAB,0.7968646957302613
48,Lattice,All,13,0.2,484,COLAB,0.8048660825340667
49,Lattice,All,13,0.2,484,COLAB,0.7909205368864138
50,Lattice,All,13,0.2,484,COLAB,0.8322859195858248
1,Lattice,All,13,0.2,484,NOLAB,0.8344709398560006
2,Lattice,All,13,0.2,484,NOLAB,0.8347349575067545
3,Lattice,All,13,0.2,484,NOLAB,0.8218811772944448
4,Lattice,All,13,0.2,484,NOLAB,0.8269613721193717
5,Lattice,All,13,0.2,484,NOLAB,0.844915147309318
6,Lattice,All,13,0.2,484,NOLAB,0.8379497365492842
7,Lattice,All,13,0.2,484,NOLAB,0.8584977611227533
8,Lattice,All,13,0.2,484,NOLAB,0.8374872857299077
9,Lattice,All,13,0.2,484,NOLAB,0.8291203143186351
10,Lattice,All,13,0.2,484,NOLAB,0.8151462286628058
11,Lattice,All,13,0.2,484,NOLAB,0.8387466717087839
12,Lattice,All,13,0.2,484,NOLAB,0.8398546745548303
13,Lattice,All,13,0.2,484,NOLAB,0.8374158309223244
14,Lattice,All,13,0.2,484,NOLAB,0.8288968245668558
15,Lattice,All,13,0.2,484,NOLAB,0.8112505532885044
16,Lattice,All,13,0.2,484,NOLAB,0.8228177484470869
17,Lattice,All,13,0.2,484,NOLAB,0.8188264402352984
18,Lattice,All,13,0.2,484,NOLAB,0.8325964187327823
19,Lattice,All,13,0.2,484,NOLAB,0.8242895948209957
20,Lattice,All,13,0.2,484,NOLAB,0.8501025908661958
21,Lattice,All,13,0.2,484,NOLAB,0.8391645218315867
22,Lattice,All,13,0.2,484,NOLAB,0.8327962120966242
23,Lattice,All,13,0.2,484,NOLAB,0.8225206992140464
24,Lattice,All,13,0.2,484,NOLAB,0.825930124205111
25,Lattice,All,13,0.2,484,NOLAB,0.8283761443306148
26,Lattice,All,13,0.2,484,NOLAB,0.8160574759194233
27,Lattice,All,13,0.2,484,NOLAB,0.8421399228574116
28,Lattice,All,13,0.2,484,NOLAB,0.8201810704939616
29,Lattice,All,13,0.2,484,NOLAB,0.8269489827770655
30,Lattice,All,13,0.2,484,NOLAB,0.8162230283753441
31,Lattice,All,13,0.2,484,NOLAB,0.8354030491677215
32,Lattice,All,13,0.2,484,NOLAB,0.839683076325432
33,Lattice,All,13,0.2,484,NOLAB,0.8143035207260225
34,Lattice,All,13,0.2,484,NOLAB,0.8374872857299077
35,Lattice,All,13,0.2,484,NOLAB,0.852224203792989
36,Lattice,All,13,0.2,484,NOLAB,0.8490737483036669
37,Lattice,All,13,0.2,484,NOLAB,0.81024216281805606
