replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
12,Lattice,All,7,0.2,413,COLAB,0.7949665880149138,0.9147183846971307
13,Lattice,All,7,0.2,413,COLAB,0.7775617427037147,0.8972873321042929
14,Lattice,All,7,0.2,413,COLAB,0.7747275711465513,0.9186778593913956
15,Lattice,All,7,0.2,413,COLAB,0.8007122906176073,0.9083311569600417
16,Lattice,All,7,0.2,413,COLAB,0.8201768681808824,0.9046052631578947
17,Lattice,All,7,0.2,413,COLAB,0.7720824786786139,0.9031847133757962
18,Lattice,All,7,0.2,413,COLAB,0.8057870621593672,0.9028851107676455
19,Lattice,All,7,0.2,413,COLAB,0.7888606941081517,0.8904
20,Lattice,All,7,0.2,413,COLAB,0.7968689967742797,0.8746475262753141
21,Lattice,All,7,0.2,413,COLAB,0.7696848856167446,0.8760477520955042
22,Lattice,All,7,0.2,413,COLAB,0.7734003351794154,0.8848181338956247
23,Lattice,All,7,0.2,413,COLAB,0.7884929452513695,0.8683724610920601
24,Lattice,All,7,0.2,413,COLAB,0.8143022021486094,0.913032389696506
25,Lattice,All,7,0.2,413,COLAB,0.8035872756462155,0.9170554691550026
26,Lattice,All,7,0.2,413,COLAB,0.8286457875806844,0.9253960143076136
27,Lattice,All,7,0.2,413,COLAB,0.8190712205508798,0.9287620064034151
28,Lattice,All,7,0.2,413,COLAB,0.7957140708961293,0.9297845373891002
29,Lattice,All,7,0.2,413,COLAB,0.7873147109195063,0.8970474967907573
30,Lattice,All,7,0.2,413,COLAB,0.793593784358279,0.9107234479220113
31,Lattice,All,7,0.2,413,COLAB,0.7910665847223148,0.8962793068297655
32,Lattice,All,7,0.2,413,COLAB,0.7823602093196624,0.9040683073832245
33,Lattice,All,7,0.2,413,COLAB,0.8304706322609943,0.9265690895559414
34,Lattice,All,7,0.2,413,COLAB,0.7724938992196821,0.8599460387539858
35,Lattice,All,7,0.2,413,COLAB,0.7966014575138629,0.9324081213055769
36,Lattice,All,7,0.2,413,COLAB,0.8029533926547396,0.9072058061171592
37,Lattice,All,7,0.2,413,COLAB,0.792967691567243,0.8993357179356157
38,Lattice,All,7,0.2,413,COLAB,0.7885678815899344,0.8957273652085452
39,Lattice,All,7,0.2,413,COLAB,0.8029385868368919,0.9200715015321757
40,Lattice,All,7,0.2,413,COLAB,0.7897470817238068,0.900024931438544
41,Lattice,All,7,0.2,413,COLAB,0.7848237614825145,0.8946085071796261
42,Lattice,All,7,0.2,413,COLAB,0.7537232821240711,0.8601831896551724
43,Lattice,All,7,0.2,413,COLAB,0.7853392376936779,0.8844455985458323
44,Lattice,All,7,0.2,413,COLAB,0.7882449590005494,0.8881302521008403
45,Lattice,All,7,0.2,413,COLAB,0.7890903616100083,0.898157625383828
46,Lattice,All,7,0.2,413,COLAB,0.7567150701858228,0.8648993117512108
47,Lattice,All,7,0.2,413,COLAB,0.7945000443627769,0.8847583643122676
48,Lattice,All,7,0.2,413,COLAB,0.7965010627123575,0.895112016293279
49,Lattice,All,7,0.2,413,COLAB,0.7969594997943815,0.9152100182624576
50,Lattice,All,7,0.2,413,COLAB,0.7914091372499044,0.8709514170040485
1,Lattice,All,7,0.2,413,NOLAB,0.7831949932755039,0.8956755847215211
2,Lattice,All,7,0.2,413,NOLAB,0.8000667471471271,0.9162619326745939
3,Lattice,All,7,0.2,413,NOLAB,0.8314927303216003,0.9339144215530903
4,Lattice,All,7,0.2,413,NOLAB,0.7845483367405625,0.9204923486360612
5,Lattice,All,7,0.2,413,NOLAB,0.8039696015812229,0.9249050998514606
6,Lattice,All,7,0.2,413,NOLAB,0.8046482758347165,0.9205569205569205
7,Lattice,All,7,0.2,413,NOLAB,0.8075894980964525,0.9290815479156286
8,Lattice,All,7,0.2,413,NOLAB,0.7890684858994325,0.8960973137354283
9,Lattice,All,7,0.2,413,NOLAB,0.8123535319067475,0.8990840430660453
10,Lattice,All,7,0.2,413,NOLAB,0.771598295732757,0.881092933040985
11,Lattice,All,7,0.2,413,NOLAB,0.817846342907523,0.9351806838437855
12,Lattice,All,7,0.2,413,NOLAB,0.7972556341649667,0.9079434533826994
13,Lattice,All,7,0.2,413,NOLAB,0.8215011793403679,0.9342062722276108
14,Lattice,All,7,0.2,413,NOLAB,0.7938840079180546,0.9180272681366773
15,Lattice,All,7,0.2,413,NOLAB,0.7892420660866066,0.9159248269040554
16,Lattice,All,7,0.2,413,NOLAB,0.8008279439997315,0.9298480040086855
17,Lattice,All,7,0.2,413,NOLAB,0.7821932925498387,0.913732097725358
18,Lattice,All,7,0.2,413,NOLAB,0.8067163949715556,0.9018158444480154
19,Lattice,All,7,0.2,413,NOLAB,0.7962242396881366,0.9143284077702142
20,Lattice,All,7,0.2,413,NOLAB,0.8233604096913155,0.9387787981311423
21,Lattice,All,7,0.2,413,NOLAB,0.8233116920162051,0.9458246513864401
22,Lattice,All,7,0.2,413,NOLAB,0.8025136687705421,0.9399221526485023
23,Lattice,All,7,0.2,413,NOLAB,0.8038849770084637,0.9194139194139194
24,Lattice,All,7,0.2,413,NOLAB,0.8008360401118162,0.9152041987862883
